epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,6308.9,0.23612,0.15815,0.80006,0.99983,0.99984,0.995,0.99495,0.09533,0.07472,0.76084,0.008581,0.008581,0.008581
45,6451.26,0.23729,0.1586,0.79886,0.99983,0.99984,0.995,0.99494,0.09485,0.07436,0.76086,0.008548,0.008548,0.008548
46,6593.68,0.23111,0.15766,0.79908,0.99983,0.99984,0.995,0.99495,0.09412,0.07395,0.76094,0.008515,0.008515,0.008515
47,6736.17,0.23517,0.15853,0.79963,0.99983,0.99984,0.995,0.99495,0.09395,0.07401,0.76081,0.008482,0.008482,0.008482
48,6878.47,0.23805,0.15914,0.80038,0.99983,0.99984,0.995,0.99494,0.094,0.0741,0.76069,0.008449,0.008449,0.008449
49,7021.07,0.23215,0.15695,0.79831,0.99983,0.99984,0.995,0.99494,0.09388,0.07405,0.76063,0.008416,0.008416,0.008416
50,7164.26,0.23329,0.15749,0.79861,0.99983,0.99984,0.995,0.99494,0.09381,0.07407,0.76059,0.008383,0.008383,0.008383
51,7307.13,0.23196,0.15621,0.79855,0.99983,0.99984,0.995,0.99494,0.09351,0.07397,0.7607,0.00835,0.00835,0.00835
52,7449.82,0.22856,0.15548,0.79731,0.99983,0.99984,0.995,0.99494,0.09357,0.0739,0.76072,0.008317,0.008317,0.008317
53,7592.42,0.23189,0.15586,0.79774,0.99983,0.99984,0.995,0.99494,0.09333,0.07359,0.76071,0.008284,0.008284,0.008284
54,7734.83,0.231,0.1543,0.79897,0.99983,0.99984,0.995,0.99494,0.09314,0.0737,0.76065,0.008251,0.008251,0.008251
55,7877.68,0.22666,0.15505,0.79721,0.99983,0.99984,0.995,0.99495,0.09297,0.07371,0.76062,0.008218,0.008218,0.008218
56,8019.92,0.22765,0.15666,0.79671,0.99983,0.99984,0.995,0.99494,0.09282,0.07389,0.7606,0.008185,0.008185,0.008185
57,8162.08,0.21986,0.15404,0.79436,0.99983,0.99984,0.995,0.99495,0.09274,0.07389,0.76036,0.008152,0.008152,0.008152
58,8304.3,0.22098,0.1524,0.79597,0.99983,0.99984,0.995,0.99495,0.09279,0.07395,0.76034,0.008119,0.008119,0.008119
59,8446.63,0.22142,0.15276,0.79588,0.99983,0.99984,0.995,0.99495,0.09268,0.07394,0.76039,0.008086,0.008086,0.008086
60,8588.65,0.22367,0.15595,0.79524,0.99983,0.99984,0.995,0.99495,0.09235,0.07396,0.7604,0.008053,0.008053,0.008053
61,8731.16,0.21659,0.15156,0.79566,0.99983,0.99984,0.995,0.99495,0.09184,0.07385,0.76025,0.00802,0.00802,0.00802
62,8874.29,0.21745,0.15145,0.79525,0.99983,0.99984,0.995,0.99495,0.09148,0.07344,0.76025,0.007987,0.007987,0.007987
